Gene,KEGG_definition,KEGG
MYCTH_2095122,Sphingolipid metabolism;Metabolic pathways;Autophagy - yeast,mtm00600;mtm01100;mtm04138
MYCTH_2095260,Proteasome,mtm03050
MYCTH_2095291,Cysteine and methionine metabolism;Metabolic pathways,mtm00270;mtm01100
MYCTH_2095451,Glutathione metabolism;Metabolic pathways,mtm00480;mtm01100
MYCTH_2095610,MAPK signaling pathway - yeast;Cell cycle - yeast,mtm04011;mtm04111
MYCTH_2095744,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2095925,Proteasome,mtm03050
MYCTH_2096067,RNA degradation,mtm03018
MYCTH_2096092,Glycerophospholipid metabolism;Ether lipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Endocytosis,mtm00564;mtm00565;mtm01100;mtm01110;mtm04144
MYCTH_2096317,Ubiquinone and other terpenoid-quinone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00130;mtm01100;mtm01110;mtm01240
MYCTH_2096341,Ribosome,mtm03010
MYCTH_2096434,Purine metabolism;Metabolic pathways,mtm00230;mtm01100
MYCTH_2096690,Peroxisome,mtm04146
MYCTH_2097501,Glycolysis / Gluconeogenesis;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Propanoate metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00010;mtm00620;mtm00630;mtm00640;mtm00680;mtm01100;mtm01110;mtm01200
MYCTH_2097570,RNA degradation,mtm03018
MYCTH_2097810,MAPK signaling pathway - yeast,mtm04011
MYCTH_2106248,Various types of N-glycan biosynthesis;Metabolic pathways,mtm00513;mtm01100
MYCTH_2106260,ABC transporters,mtm02010
MYCTH_2106437,Purine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00230;mtm01100;mtm01110
MYCTH_2106821,Basal transcription factors;Nucleotide excision repair,mtm03022;mtm03420
MYCTH_2106971,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2107102,Ribosome,mtm03010
MYCTH_2107938,Peroxisome,mtm04146
MYCTH_2109793,Endocytosis,mtm04144
MYCTH_2109970,Arginine and proline metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,mtm00330;mtm01100;mtm01110;mtm01230
MYCTH_2110542,Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00040;mtm00053;mtm00520;mtm01100;mtm01240
MYCTH_2110729,"Glycine, serine and threonine metabolism;Metabolic pathways",mtm00260;mtm01100
MYCTH_2110837,Phosphatidylinositol signaling system,mtm04070
MYCTH_2111167,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2112181,Pyrimidine metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00240;mtm01100;mtm01240
MYCTH_2113541,Purine metabolism;Metabolic pathways,mtm00230;mtm01100
MYCTH_2113569,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Metabolic pathways,mtm00563;mtm01100
MYCTH_2114395,MAPK signaling pathway - yeast,mtm04011
MYCTH_2114926,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2115074,RNA degradation;Spliceosome,mtm03018;mtm03040
MYCTH_2115123,Glutathione metabolism;Metabolic pathways,mtm00480;mtm01100
MYCTH_2115531,RNA degradation,mtm03018
MYCTH_2115868,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2116523,Autophagy - other;Autophagy - yeast,mtm04136;mtm04138
MYCTH_2116689,Basal transcription factors;Nucleotide excision repair,mtm03022;mtm03420
MYCTH_2116851,Fructose and mannose metabolism;Metabolic pathways,mtm00051;mtm01100
MYCTH_2116929,Glycerophospholipid metabolism;Metabolic pathways,mtm00564;mtm01100
MYCTH_2117192,Protein export,mtm03060
MYCTH_2117807,Tyrosine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00350;mtm01100;mtm01110
MYCTH_2117839,mRNA surveillance pathway,mtm03015
MYCTH_2117988,Cell cycle - yeast;Meiosis - yeast,mtm04111;mtm04113
MYCTH_2118116,Non-homologous end-joining,mtm03450
