Gene,KEGG_definition,KEGG
MYCTH_2299913,"Glycolysis / Gluconeogenesis;Ascorbate and aldarate metabolism;Fatty acid degradation;Valine, leucine and isoleucine degradation;Lysine degradation;Arginine and proline metabolism;Histidine metabolism;Tryptophan metabolism;beta-Alanine metabolism;Glycerolipid metabolism;Pyruvate metabolism;Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors",mtm00010;mtm00053;mtm00071;mtm00280;mtm00310;mtm00330;mtm00340;mtm00380;mtm00410;mtm00561;mtm00620;mtm00770;mtm01100;mtm01110;mtm01240
MYCTH_2299988,Protein export,mtm03060
MYCTH_2300003,Folate biosynthesis;Metabolic pathways;Biosynthesis of cofactors,mtm00790;mtm01100;mtm01240
MYCTH_2300006,Basal transcription factors,mtm03022
MYCTH_2300033,Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Fructose and mannose metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids,mtm00010;mtm00030;mtm00051;mtm00680;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2300064,Glutathione metabolism;Metabolic pathways,mtm00480;mtm01100
MYCTH_2300079,Galactose metabolism;Starch and sucrose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00052;mtm00500;mtm01100;mtm01110
MYCTH_2300115,RNA degradation,mtm03018
MYCTH_2300117,MAPK signaling pathway - yeast;Mitophagy - yeast,mtm04011;mtm04139
MYCTH_2300124,Cysteine and methionine metabolism;Glutathione metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00270;mtm00480;mtm01100;mtm01240
MYCTH_2300157,Glutathione metabolism;Metabolic pathways,mtm00480;mtm01100
MYCTH_2300159,Meiosis - yeast;Autophagy - yeast,mtm04113;mtm04138
MYCTH_2300172,DNA replication;Base excision repair;Nucleotide excision repair,mtm03030;mtm03410;mtm03420
MYCTH_2300182,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2300185,Endocytosis,mtm04144
MYCTH_2300189,Thiamine metabolism;Metabolic pathways;Biosynthesis of cofactors;Sulfur relay system,mtm00730;mtm01100;mtm01240;mtm04122
MYCTH_2300221,Cell cycle - yeast,mtm04111
MYCTH_2300227,Terpenoid backbone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00900;mtm01100;mtm01110
MYCTH_2300236,Arginine and proline metabolism;Carbapenem biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,mtm00330;mtm00332;mtm01100;mtm01110;mtm01230
MYCTH_2300248,Propanoate metabolism;Metabolic pathways,mtm00640;mtm01100
MYCTH_2300282,Meiosis - yeast;Autophagy - yeast,mtm04113;mtm04138
MYCTH_2300289,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2300294,Tryptophan metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00380;mtm01100;mtm01240
MYCTH_2300304,DNA replication;Nucleotide excision repair;Mismatch repair;Homologous recombination,mtm03030;mtm03420;mtm03430;mtm03440
MYCTH_2300308,Fructose and mannose metabolism;Metabolic pathways,mtm00051;mtm01100
MYCTH_2300330,MAPK signaling pathway - yeast,mtm04011
MYCTH_2300385,Spliceosome,mtm03040
MYCTH_2300396,Ribosome,mtm03010
MYCTH_2300401,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm01100;mtm01110;mtm01240
MYCTH_2300408,Ribosome,mtm03010
MYCTH_2300427,Autophagy - other;Autophagy - yeast,mtm04136;mtm04138
MYCTH_2300428,Pyrimidine metabolism;Metabolic pathways,mtm00240;mtm01100
MYCTH_2300433,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2300436,Sphingolipid metabolism;Metabolic pathways,mtm00600;mtm01100
MYCTH_2300457,mRNA surveillance pathway,mtm03015
MYCTH_2300475,Cysteine and methionine metabolism,mtm00270
MYCTH_2300482,Glycerophospholipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00564;mtm01100;mtm01110
MYCTH_2300510,Peroxisome,mtm04146
MYCTH_2300520,Glycolysis / Gluconeogenesis;Fatty acid degradation;Tyrosine metabolism;Pyruvate metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00010;mtm00071;mtm00350;mtm00620;mtm00680;mtm01100;mtm01110;mtm01200
MYCTH_2300528,Base excision repair,mtm03410
MYCTH_2300547,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Metabolic pathways,mtm00563;mtm01100
MYCTH_2300549,Ribosome,mtm03010
MYCTH_2300555,Arginine and proline metabolism;Glutathione metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00330;mtm00480;mtm01100;mtm01110
MYCTH_2300583,RNA polymerase,mtm03020
MYCTH_2300584,Metabolic pathways,mtm01100
MYCTH_2300590,Cell cycle - yeast;Meiosis - yeast,mtm04111;mtm04113
MYCTH_2300602,Cysteine and methionine metabolism;Metabolic pathways,mtm00270;mtm01100
MYCTH_2300611,Folate biosynthesis;Metabolic pathways;Biosynthesis of cofactors,mtm00790;mtm01100;mtm01240
MYCTH_2300637,Ribosome biogenesis in eukaryotes;Spliceosome,mtm03008;mtm03040
MYCTH_2300643,Pentose phosphate pathway;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids,mtm00030;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2300690,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2300695,Arginine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,mtm00220;mtm01100;mtm01110;mtm01210;mtm01230
MYCTH_2300696,DNA replication;Nucleotide excision repair;Mismatch repair,mtm03030;mtm03420;mtm03430
MYCTH_2300697,Histidine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,mtm00340;mtm01100;mtm01110;mtm01230
MYCTH_2300729,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2300737,Glutathione metabolism;Metabolic pathways,mtm00480;mtm01100
MYCTH_2300738,Non-homologous end-joining,mtm03450
MYCTH_2300740,Basal transcription factors,mtm03022
MYCTH_2300741,Cell cycle - yeast;Meiosis - yeast,mtm04111;mtm04113
MYCTH_2300744,Cell cycle - yeast;Ubiquitin mediated proteolysis,mtm04111;mtm04120
MYCTH_2300745,Pentose phosphate pathway;Purine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids,mtm00030;mtm00230;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2300746,Arginine and proline metabolism;Glutathione metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00330;mtm00480;mtm01100;mtm01110
MYCTH_2300779,Inositol phosphate metabolism;Metabolic pathways;Phosphatidylinositol signaling system,mtm00562;mtm01100;mtm04070
MYCTH_2300782,Ubiquitin mediated proteolysis;Protein processing in endoplasmic reticulum,mtm04120;mtm04141
MYCTH_2300787,Nitrogen metabolism;Metabolic pathways,mtm00910;mtm01100
MYCTH_2300817,Pyruvate metabolism;Metabolic pathways,mtm00620;mtm01100
MYCTH_2300844,Autophagy - yeast;Endocytosis;Phagosome,mtm04138;mtm04144;mtm04145
MYCTH_2300877,Lysine biosynthesis;Lysine degradation;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,mtm00300;mtm00310;mtm01100;mtm01110;mtm01230
MYCTH_2300889,Nicotinate and nicotinamide metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00760;mtm01100;mtm01240
MYCTH_2300901,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2300923,N-Glycan biosynthesis,mtm00510
MYCTH_2300945,Ribosome,mtm03010
MYCTH_2300946,Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites,mtm00900;mtm01110
MYCTH_2300958,Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites,mtm00900;mtm01110
MYCTH_2300961,Ribosome biogenesis in eukaryotes;mRNA surveillance pathway,mtm03008;mtm03015
MYCTH_2300969,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2300970,Spliceosome,mtm03040
MYCTH_2300974,One carbon pool by folate;Metabolic pathways;Carbon metabolism,mtm00670;mtm01100;mtm01200
MYCTH_2301005,Ubiquitin mediated proteolysis;Protein processing in endoplasmic reticulum,mtm04120;mtm04141
MYCTH_2301009,Spliceosome;Mitophagy - yeast,mtm03040;mtm04139
MYCTH_2301027,Non-homologous end-joining,mtm03450
MYCTH_2301051,Purine metabolism;Pyrimidine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00230;mtm00240;mtm01100;mtm01110;mtm01240
MYCTH_2301053,N-Glycan biosynthesis;Metabolic pathways;Protein processing in endoplasmic reticulum,mtm00510;mtm01100;mtm04141
MYCTH_2301055,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2301064,Proteasome,mtm03050
MYCTH_2301067,Cell cycle - yeast;Meiosis - yeast,mtm04111;mtm04113
MYCTH_2301076,Cell cycle - yeast;Meiosis - yeast;Ubiquitin mediated proteolysis,mtm04111;mtm04113;mtm04120
MYCTH_2301077,"Valine, leucine and isoleucine degradation;Butanoate metabolism;Metabolic pathways",mtm00280;mtm00650;mtm01100
MYCTH_2301113,Phenylalanine metabolism;Butanoate metabolism;Metabolic pathways;Carbon metabolism,mtm00360;mtm00650;mtm01100;mtm01200
MYCTH_2301160,Protein export,mtm03060
MYCTH_2301172,DNA replication;Nucleotide excision repair;Mismatch repair;Homologous recombination,mtm03030;mtm03420;mtm03430;mtm03440
MYCTH_2301184,Protein export,mtm03060
MYCTH_2301203,Pyrimidine metabolism;Metabolic pathways,mtm00240;mtm01100
MYCTH_2301210,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2301250,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2301261,MAPK signaling pathway - yeast,mtm04011
MYCTH_2301266,"Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Methane metabolism;Vitamin B6 metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors",mtm00260;mtm00270;mtm00680;mtm00750;mtm01100;mtm01110;mtm01200;mtm01230;mtm01240
MYCTH_2301272,Folate biosynthesis;Biosynthesis of cofactors,mtm00790;mtm01240
MYCTH_2301275,Proteasome,mtm03050
MYCTH_2301302,Cell cycle - yeast,mtm04111
MYCTH_2301304,Glycerolipid metabolism;Metabolic pathways,mtm00561;mtm01100
MYCTH_2301308,Starch and sucrose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00500;mtm01100;mtm01110
MYCTH_2301316,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2301334,Starch and sucrose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00500;mtm01100;mtm01110
MYCTH_2301391,Protein export,mtm03060
MYCTH_2301403,DNA replication;Cell cycle - yeast;Meiosis - yeast,mtm03030;mtm04111;mtm04113
MYCTH_2301410,Cell cycle - yeast;Meiosis - yeast;Ubiquitin mediated proteolysis,mtm04111;mtm04113;mtm04120
MYCTH_2301421,Fructose and mannose metabolism,mtm00051
MYCTH_2301430,"Fatty acid degradation;Valine, leucine and isoleucine degradation;Metabolic pathways;Biosynthesis of secondary metabolites;Fatty acid metabolism",mtm00071;mtm00280;mtm01100;mtm01110;mtm01212
MYCTH_2301456,DNA replication;Base excision repair;Nucleotide excision repair;Mismatch repair;Homologous recombination,mtm03030;mtm03410;mtm03420;mtm03430;mtm03440
MYCTH_2301474,mRNA surveillance pathway,mtm03015
MYCTH_2301499,"Glycine, serine and threonine metabolism;Glyoxylate and dicarboxylate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism",mtm00260;mtm00630;mtm01100;mtm01110;mtm01200
MYCTH_2301500,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm01100;mtm01110;mtm01240
MYCTH_2301508,Steroid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00100;mtm01100;mtm01110
MYCTH_2301522,Glycerophospholipid metabolism;Metabolic pathways,mtm00564;mtm01100
MYCTH_2301537,Basal transcription factors,mtm03022
MYCTH_2301550,Spliceosome,mtm03040
MYCTH_2301572,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2301585,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2301594,Aminoacyl-tRNA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00970;mtm01100;mtm01110;mtm01240
MYCTH_2301648,Lysine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,mtm00300;mtm01100;mtm01110;mtm01210;mtm01230
MYCTH_2301650,Metabolic pathways;Biosynthesis of secondary metabolites,mtm01100;mtm01110
MYCTH_2301669,ABC transporters,mtm02010
MYCTH_2301702,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2301712,Cysteine and methionine metabolism;Arginine and proline metabolism;Metabolic pathways,mtm00270;mtm00330;mtm01100
MYCTH_2301715,Metabolic pathways,mtm01100
MYCTH_2301751,Basal transcription factors;Nucleotide excision repair,mtm03022;mtm03420
MYCTH_2301771,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways;Protein processing in endoplasmic reticulum,mtm00510;mtm00513;mtm01100;mtm04141
MYCTH_2301810,Citrate cycle (TCA cycle);Propanoate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00020;mtm00640;mtm01100;mtm01110;mtm01200
MYCTH_2301813,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2301817,Proteasome,mtm03050
MYCTH_2301830,Peroxisome,mtm04146
MYCTH_2301916,RNA degradation,mtm03018
MYCTH_2301934,"Valine, leucine and isoleucine biosynthesis;Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids",mtm00290;mtm00770;mtm01100;mtm01110;mtm01210;mtm01230
MYCTH_2301942,DNA replication,mtm03030
MYCTH_2301957,Steroid biosynthesis,mtm00100
MYCTH_2301968,Endocytosis,mtm04144
MYCTH_2301970,Basal transcription factors,mtm03022
MYCTH_2301985,Glutathione metabolism;Metabolic pathways,mtm00480;mtm01100
MYCTH_2302026,Histidine metabolism;Metabolic pathways,mtm00340;mtm01100
MYCTH_2302034,Glycerophospholipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00564;mtm01100;mtm01110
MYCTH_2302045,Ubiquitin mediated proteolysis;Protein processing in endoplasmic reticulum,mtm04120;mtm04141
MYCTH_2302064,Ribosome,mtm03010
MYCTH_2302071,Autophagy - yeast,mtm04138
MYCTH_2302102,"Glycine, serine and threonine metabolism;Monobactam biosynthesis;Cysteine and methionine metabolism;Lysine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids",mtm00260;mtm00261;mtm00270;mtm00300;mtm01100;mtm01110;mtm01210;mtm01230
MYCTH_2302111,SNARE interactions in vesicular transport,mtm04130
MYCTH_2302133,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2302143,Ribosome,mtm03010
MYCTH_2302150,Fructose and mannose metabolism;Metabolic pathways,mtm00051;mtm01100
MYCTH_2302188,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2302206,mRNA surveillance pathway;Meiosis - yeast,mtm03015;mtm04113
MYCTH_2302225,Fructose and mannose metabolism;Glycerolipid metabolism;Methane metabolism;Metabolic pathways;Carbon metabolism,mtm00051;mtm00561;mtm00680;mtm01100;mtm01200
MYCTH_2302228,"Valine, leucine and isoleucine degradation;beta-Alanine metabolism;Propanoate metabolism;Metabolic pathways;Carbon metabolism",mtm00280;mtm00410;mtm00640;mtm01100;mtm01200
MYCTH_2302243,Autophagy - yeast,mtm04138
MYCTH_2302244,RNA polymerase,mtm03020
MYCTH_2302246,RNA degradation;Spliceosome,mtm03018;mtm03040
MYCTH_2302249,DNA replication;Base excision repair;Nucleotide excision repair;Mismatch repair;Homologous recombination,mtm03030;mtm03410;mtm03420;mtm03430;mtm03440
MYCTH_2302253,"Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Valine, leucine and isoleucine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids",mtm00260;mtm00270;mtm00290;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2302257,Selenocompound metabolism;Aminoacyl-tRNA biosynthesis;Metabolic pathways,mtm00450;mtm00970;mtm01100
MYCTH_2302271,Ribosome,mtm03010
MYCTH_2302277,Basal transcription factors;Nucleotide excision repair,mtm03022;mtm03420
MYCTH_2302289,N-Glycan biosynthesis;Metabolic pathways;Protein processing in endoplasmic reticulum,mtm00510;mtm01100;mtm04141
MYCTH_2302318,mRNA surveillance pathway,mtm03015
MYCTH_2302336,Taurine and hypotaurine metabolism;Cyanoamino acid metabolism;Glutathione metabolism;Metabolic pathways,mtm00430;mtm00460;mtm00480;mtm01100
MYCTH_2302339,Metabolic pathways;Peroxisome,mtm01100;mtm04146
MYCTH_2302387,mRNA surveillance pathway;Spliceosome,mtm03015;mtm03040
MYCTH_2302391,Spliceosome,mtm03040
MYCTH_2302405,Sulfur relay system,mtm04122
MYCTH_2302420,Ribosome,mtm03010
MYCTH_2302422,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2302433,Pyruvate metabolism;Metabolic pathways;Carbon metabolism,mtm00620;mtm01100;mtm01200
MYCTH_2302465,RNA degradation,mtm03018
MYCTH_2302478,Arachidonic acid metabolism;Metabolic pathways,mtm00590;mtm01100
MYCTH_2302496,"Alanine, aspartate and glutamate metabolism;Metabolic pathways",mtm00250;mtm01100
MYCTH_2302498,Cysteine and methionine metabolism;Arginine and proline metabolism;Glutathione metabolism;Metabolic pathways,mtm00270;mtm00330;mtm00480;mtm01100
MYCTH_2302509,Cyanoamino acid metabolism;Starch and sucrose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00460;mtm00500;mtm01100;mtm01110
MYCTH_2302511,"Purine metabolism;Alanine, aspartate and glutamate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites",mtm00230;mtm00250;mtm01100;mtm01110
MYCTH_2302517,Starch and sucrose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00500;mtm01100;mtm01110
MYCTH_2302558,mRNA surveillance pathway,mtm03015
MYCTH_2302569,Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of cofactors,mtm00770;mtm01100;mtm01240
MYCTH_2302583,Amino sugar and nucleotide sugar metabolism;Metabolic pathways,mtm00520;mtm01100
MYCTH_2302623,Lysine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,mtm00300;mtm01100;mtm01110;mtm01210;mtm01230
MYCTH_2302625,Homologous recombination,mtm03440
MYCTH_2302644,Folate biosynthesis;Biosynthesis of cofactors,mtm00790;mtm01240
MYCTH_2302649,SNARE interactions in vesicular transport,mtm04130
MYCTH_2302653,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2302660,"Cysteine and methionine metabolism;Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine biosynthesis;Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors",mtm00270;mtm00280;mtm00290;mtm00770;mtm01100;mtm01110;mtm01210;mtm01230;mtm01240
MYCTH_2302666,Phosphonate and phosphinate metabolism;Glycerophospholipid metabolism;Metabolic pathways,mtm00440;mtm00564;mtm01100
MYCTH_2302672,Penicillin and cephalosporin biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00311;mtm01100;mtm01110
MYCTH_2302711,"Alanine, aspartate and glutamate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",mtm00250;mtm01100;mtm01110;mtm01230
MYCTH_2302719,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2302721,Peroxisome,mtm04146
MYCTH_2302726,One carbon pool by folate;Aminoacyl-tRNA biosynthesis,mtm00670;mtm00970
MYCTH_2302739,Pyrimidine metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00240;mtm01100;mtm01240
MYCTH_2302752,Pyrimidine metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00240;mtm01100;mtm01240
MYCTH_2302763,MAPK signaling pathway - yeast;Cell cycle - yeast;Meiosis - yeast,mtm04011;mtm04111;mtm04113
MYCTH_2302775,DNA replication;Cell cycle - yeast;Meiosis - yeast,mtm03030;mtm04111;mtm04113
MYCTH_2302779,Autophagy - other;Autophagy - yeast,mtm04136;mtm04138
MYCTH_2302790,Mitophagy - yeast,mtm04139
MYCTH_2302797,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2302825,Base excision repair,mtm03410
MYCTH_2302831,Spliceosome,mtm03040
MYCTH_2302839,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2302852,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2302897,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2302901,Thiamine metabolism;Riboflavin metabolism;Metabolic pathways,mtm00730;mtm00740;mtm01100
MYCTH_2302907,Proteasome,mtm03050
MYCTH_2302964,Cell cycle - yeast,mtm04111
MYCTH_2302986,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2303002,Histidine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,mtm00340;mtm01100;mtm01110;mtm01230
